agent_id,generation_number,p_11,p_22,p_33,p_44,q_11,q_22,q_33,q_44,r_11,r_22,r_33,r_44,shift,scale,P,fitness
1,1,0.24271089065842213,0.2647456744488118,0.2536915873118305,0.5037939902271206,0.005,0.012249398335318878,0.005,0.007778299297968349,0.005,0.007410269429287903,0.013889297715210018,0.014641614174555017,0.47810044614711844,4.993789210029646,0.2994581228326326,181.152
2,1,0.26124719198482027,0.2616428212127857,0.2537708955951893,0.5023481591717599,0.005787975625595689,0.006619565485932447,0.014750793162695279,0.013027599616156972,0.025506749353118814,0.005148771785947231,0.011823768724232034,0.01849984193778357,0.48460059136167183,4.994979892407523,0.3127659388698211,423.72
3,1,0.2536141756922479,0.2524251614473213,0.24608822666717556,0.500318646667676,0.026593450642994697,0.00988748809100263,0.005,0.005334645480284899,0.005,0.023691012743724323,0.005,0.007560498836856052,0.501608545156406,5.003455906127199,0.29865765030169594,233.856
4,1,0.24006322118007623,0.2532245282082715,0.2582675010981123,0.4816516315049443,0.009005967958259276,0.005,0.009093867914948631,0.0050559856890667765,0.015897190089437265,0.0134032721218033,0.013920370046723455,0.020530961278787136,0.49549641163875907,4.9923348899295,0.3009936805885334,164.506
5,1,0.25773929486391833,0.24511900972908615,0.2715096814860739,0.5010331502821975,0.005066832158107619,0.005,0.015835986260582968,0.006872625272201834,0.02284725872170655,0.0313438562960481,0.005382332239409184,0.01780898722348812,0.5042232549161492,4.998951829090374,0.30027481856995664,320.4
6,1,0.248593799339217,0.26521656666188614,0.249992081959299,0.5043537478684242,0.005,0.02204501273206045,0.005,0.011681405041059755,0.01946851745628353,0.017644438679068345,0.005,0.005175939997538205,0.48368316267321776,4.993146760273693,0.30462002192267856,242.352
7,1,0.24550374731782243,0.2576336065709428,0.2381512884867013,0.5095754500958272,0.006994388428432063,0.018408263655271127,0.005,0.005,0.017756432246895527,0.016940930798565734,0.025828958882735627,0.030760482681230175,0.4927369971408766,5.004657487832381,0.2953998018035822,175.565
8,1,0.25150404167874274,0.2507790799164563,0.25482500344355374,0.48879404668609355,0.014327410743936503,0.012060645017494147,0.005,0.005,0.005381508663911929,0.009085615729456204,0.012350925168576419,0.011288274798977687,0.48615059227511465,4.999273741735973,0.3180806192685893,200.448
9,1,0.2600953196558337,0.24981053503064352,0.26752113072362554,0.49688272729372424,0.005,0.0077715614991271335,0.01925605972644605,0.013000835806268964,0.008266285875456235,0.005,0.005,0.010319471513046638,0.5035335823825073,5.003225201791293,0.3021428373915262,219.06
10,1,0.24836759405077058,0.2595437704208517,0.255344874361183,0.4843607905045092,0.012558474835294306,0.008475296594678963,0.008662677939953305,0.005,0.008726856198689906,0.007911622965379169,0.026764913414234946,0.024295573106322813,0.5060551186213245,5.00464613948717,0.2842978134479896,110.131
11,2,0.25150404167874274,0.2532245282082715,0.2652670369602966,0.4816516315049443,0.014327410743936503,0.005,0.005,0.0050559856890667765,0.005381508663911929,0.0134032721218033,0.013920370046723455,0.011288274798977687,0.48615059227511465,4.999273741735973,0.3180806192685893,670.032
12,2,0.24550374731782243,0.2507790799164563,0.25482500344355374,0.5095754500958272,0.005,0.012060645017494147,0.005,0.005,0.017756432246895527,0.009085615729456204,0.025828958882735627,0.011288274798977687,0.4927369971408766,5.004657487832381,0.2953998018035822,83.866
