generation_number,p_11,p_22,p_33,p_44,q_11,q_22,q_33,q_44,r_11,r_22,r_33,r_44,fitness
1,0.3345672200280681,0.16927722817260926,0.2516367266529187,0.3147400243497275,0.09169903190763845,0.1416726113839012,0.043671314783794,0.17416434398585093,0.15823238139510684,0.054190671624899635,0.17250090889062733,0.11579333823927893,98.611
1,0.1324854699570539,0.37153880363889313,0.14104379087252306,0.4972867378432592,0.03155165789870617,0.08507496960310508,0.06647536272513888,0.011626895508070622,0.03462895497257199,0.09200915451069656,0.032273095588003294,0.07133187263340554,115.776
1,0.20286811649323094,0.46237656754590706,0.26304328531180277,0.463486297539372,0.05597570280586508,0.05438335812359406,0.004566971771374575,0.1353950692246814,0.023506298361502524,0.009891144014299417,0.07802136099426885,0.02317652303195747,91.146
1,0.1589596721934342,0.27372892715224456,0.14716545480442217,0.40855549347903575,0.12292122399676951,0.09610544713275448,0.15150702676263425,0.007966553649718985,0.05302861917799213,0.040829885532134534,0.01478270967688449,0.1368572586474968,130.608
1,0.2204777060154511,0.4587229169231387,0.09737391073943225,0.5670216458066675,0.005415223437222879,0.0945100082223281,0.08032172438405329,0.21985393998529965,0.15348593986278902,0.12487847927746074,0.19903134946222478,0.0025377886391335022,80.087
2,0.2204777060154511,0.005,0.09737391073943225,0.5670216458066675,0.03155165789870617,0.08507496960310508,0.06647536272513888,0.011626895508070622,0.15348593986278902,0.12487847927746074,0.19903134946222478,0.0025377886391335022,299.52
2,0.2204777060154511,0.4587229169231387,0.09737391073943225,0.5670216458066675,0.005415223437222879,0.0945100082223281,0.08032172438405329,0.21985393998529965,0.03462895497257199,0.09200915451069656,0.032273095588003294,0.005,76.861
2,0.20286811649323094,0.005,0.26304328531180277,0.463486297539372,0.05597570280586508,0.05438335812359406,0.004566971771374575,0.1353950692246814,0.023506298361502524,0.009891144014299417,0.07802136099426885,0.02317652303195747,99.648
2,0.3345672200280681,0.16927722817260926,0.2516367266529187,0.3147400243497275,0.09169903190763845,0.1416726113839012,0.005,0.17416434398585093,0.15823238139510684,0.054190671624899635,0.17250090889062733,0.11579333823927893,173.088
2,0.1324854699570539,0.37153880363889313,0.14104379087252306,0.4972867378432592,0.005,0.08507496960310508,0.06647536272513888,0.011626895508070622,0.03462895497257199,0.09200915451069656,0.032273095588003294,0.07133187263340554,1728.0
3,0.2204777060154511,0.4587229169231387,0.09737391073943225,0.5670216458066675,0.005415223437222879,0.0945100082223281,0.005,0.21985393998529965,0.03462895497257199,0.09200915451069656,0.032273095588003294,0.005,134.64
3,0.20286811649323094,0.005,0.005,0.463486297539372,0.09169903190763845,0.1416726113839012,0.005,0.17416434398585093,0.15823238139510684,0.054190671624899635,0.17250090889062733,0.11579333823927893,91.884
3,0.2204777060154511,0.005,0.09737391073943225,0.5670216458066675,0.05597570280586508,0.005,0.004566971771374575,0.1353950692246814,0.15348593986278902,0.12487847927746074,0.19903134946222478,0.0025377886391335022,89.303
3,0.2204777060154511,0.4587229169231387,0.09737391073943225,0.5670216458066675,0.005,0.0945100082223281,0.08032172438405329,0.21985393998529965,0.03462895497257199,0.09200915451069656,0.032273095588003294,0.005,85.985
3,0.2204777060154511,0.4587229169231387,0.09737391073943225,0.5670216458066675,0.005415223437222879,0.0945100082223281,0.08032172438405329,0.21985393998529965,0.03462895497257199,0.09200915451069656,0.005,0.005,105.062
